symbol,time_series,q_order,matrix_norm,eigenvector
EURCOP=X,absolute log-return,-2,237334578.79606923,0.5572911756997633
EURCOP=X,absolute log-return,-1,237334578.79606923,-0.5013031976931711
EURCOP=X,absolute log-return,1,237334578.79606923,-0.5552013349400168
EURCOP=X,absolute log-return,2,237334578.79606923,-0.3603615184006795
EURCOP=X,log-return volatility,-2,324800338.8529831,-0.6564969771949242
EURCOP=X,log-return volatility,-1,324800338.8529831,0.2566065830075683
EURCOP=X,log-return volatility,1,324800338.8529831,0.6165678242818153
EURCOP=X,log-return volatility,2,324800338.8529831,-0.35079358955894646
MXN=X,absolute log-return,-2,1231233519.97698,-0.5743968838232781
MXN=X,absolute log-return,-1,1231233519.97698,0.522789158632185
MXN=X,absolute log-return,1,1231233519.97698,-0.49075020029090544
MXN=X,absolute log-return,2,1231233519.97698,-0.3949899447241792
MXN=X,log-return volatility,-2,461160220.7334934,-0.23644049816808935
MXN=X,log-return volatility,-1,461160220.7334934,0.662550728842413
MXN=X,log-return volatility,1,461160220.7334934,0.6837953227818654
MXN=X,log-return volatility,2,461160220.7334934,-0.21949065661098946
